id,worker_id,process_id,work_date,shift,machine_no,training_percent,product_name,standard_output,actual_output,total_time,actual_time,deduction_time,tt_ok,tt_ng,stop_reason,note,client_request_id,status,review_note,reviewed_by,updated_by,approved_at,created_at,updated_at
"15","3","2","2026-07-15","D","MAI-02","80.00","MAI-2821","1600.00","1228","8.000","7.750","0.250","1227","1","","Dữ liệu mẫu công nhân 1003, báo cáo 5","seed-3-05","approved","","2","","2026-07-20 02:42:33","2026-07-15 08:00:00","2026-07-20 02:42:33"
"16","4","1","2026-07-11","A","CAT-01","100.00","C2556-2","7200.00","6750","8.000","7.500","0.500","6745","5","","Dữ liệu mẫu công nhân 1004, báo cáo 1","seed-4-01","approved","","2","","2026-07-21 05:06:33","2026-07-11 08:00:00","2026-07-21 05:06:33"
"17","4","4","2026-07-12","B","K2-02","100.00","K2-2821","2200.00","2128","8.000","7.750","0.250","2122","6","","Dữ liệu mẫu công nhân 1004, báo cáo 2","seed-4-02","approved","","2","","2026-07-21 05:06:36","2026-07-12 08:00:00","2026-07-21 05:06:36"
"18","4","1","2026-07-13","C","LONG-01","100.00","9740","420.00","414","8.000","8.000","0.000","407","7","","Dữ liệu mẫu công nhân 1004, báo cáo 3","seed-4-03","approved","","2","","2026-07-21 05:06:38","2026-07-13 08:00:00","2026-07-21 05:06:38"
"19","4","4","2026-07-14","D","K2-02","100.00","K2-2821","2200.00","2053","8.000","7.500","0.500","2052","1","","Dữ liệu mẫu công nhân 1004, báo cáo 4","seed-4-04","approved","","2","","2026-07-20 02:52:43","2026-07-14 08:00:00","2026-07-20 02:52:43"
"20","4","1","2026-07-15","A","CAT-01","100.00","C2556-2","7200.00","6963","8.000","7.750","0.250","6961","2","","Dữ liệu mẫu công nhân 1004, báo cáo 5","seed-4-05","approved","","2","","2026-07-20 02:36:04","2026-07-15 08:00:00","2026-07-20 02:36:04"
"21","5","3","2026-07-11","B","K1-02","70.00","K1-2821","2400.00","1575","8.000","7.500","0.500","1569","6","","Dữ liệu mẫu công nhân 1005, báo cáo 1","seed-5-01","approved","","2","","2026-07-21 05:06:28","2026-07-11 08:00:00","2026-07-21 05:06:28"
"22","5","4","2026-07-12","C","K2-01","70.00","K2-2556","2800.00","1895","8.000","7.750","0.250","1888","7","","Dữ liệu mẫu công nhân 1005, báo cáo 2","seed-5-02","approved","","2","","2026-07-21 05:06:24","2026-07-12 08:00:00","2026-07-21 05:06:24"
"23","5","3","2026-07-13","D","K1-02","70.00","K1-2821","2400.00","1674","8.000","8.000","0.000","1673","1","","Dữ liệu mẫu công nhân 1005, báo cáo 3","seed-5-03","approved","","2","","2026-07-21 05:06:23","2026-07-13 08:00:00","2026-07-21 05:06:23"
"24","5","4","2026-07-14","A","K2-01","70.00","K2-2556","2800.00","1828","8.000","7.500","0.500","1826","2","","Dữ liệu mẫu công nhân 1005, báo cáo 4","seed-5-04","approved","","2","","2026-07-20 06:03:06","2026-07-14 08:00:00","2026-07-20 06:03:06"
"25","5","3","2026-07-15","B","K1-02","70.00","K1-2821","2400.00","1615","8.000","7.750","0.250","1612","3","","Dữ liệu mẫu công nhân 1005, báo cáo 5","seed-5-05","approved","","2","","2026-07-20 02:45:41","2026-07-15 08:00:00","2026-07-20 02:45:41"
"26","1","1","2026-07-20","C","CAT-02","100.00","C2556-2","7200.00","8137","11.000","8.000","3.000","8000","137","","","03d25b38-e98d-42cf-9167-d130689a8898","approved","","2","","2026-07-20 02:06:05","2026-07-20 02:03:01","2026-07-20 02:06:05"
"30002","1","1","2026-07-20","C","CAT-02","100.00","C2556-2","7200.00","9000","12.000","10.500","1.500","9000","0","","","c2b9ce10-8231-429e-839d-776c17cc7546","approved","","2","","2026-07-20 03:45:32","2026-07-20 03:45:00","2026-07-20 03:45:32"
"30003","2","1","2026-07-20","D","LONG-01","100.00","C2821","2400.00","9083","8.000","6.000","2.000","9000","83","","","00e06163-2c7f-4f0f-b3a9-49650757a8dc","approved","","2","","2026-07-20 05:09:10","2026-07-20 03:56:21","2026-07-20 05:09:10"
"60002","4","1","2026-07-20","C","LONG-01","100.00","C2556-2","7200.00","12003","12.000","9.000","3.000","12000","3","","","d60e0991-e02c-4412-8cae-faa88278b14d","approved","","2","","2026-07-20 05:07:52","2026-07-20 05:07:18","2026-07-20 05:07:52"
"90002","1","1","2026-07-21","A","c0575","100.00","5243-l","182.00","130","12.000","9.500","2.500","0","130","","test","97c56b6d-626e-43ea-b056-1fa17c619c1c","approved","","4","","2026-07-21 02:53:33","2026-07-21 02:10:02","2026-07-21 02:53:33"
"120002","1","1","2026-07-21","A","5243-l","100.00","5243-l","182.00","1000","10.000","10.000","0.000","1000","0","","","ef6de3cf-3e21-4e33-80b7-bcbbe08ccecf","approved","","4","","2026-07-21 03:28:50","2026-07-21 03:27:48","2026-07-21 03:28:50"
"150002","60001","1","2026-07-21","C","c0575","100.00","c0575","1460.00","12004","15.000","12.000","3.000","12000","4","","","e21ce4fc-439f-4076-8647-af2b444b5e63","approved","","2","","2026-07-21 08:07:25","2026-07-21 08:06:51","2026-07-21 08:07:25"
"180002","1","1","2026-07-21","B","c0575","100.00","5243-l","182.00","0","12.000","11.000","1.000","0","0","","","f1661c04-f929-482f-8676-9f53458b4ced","approved","","2","","2026-07-21 10:24:39","2026-07-21 10:08:48","2026-07-21 10:24:39"
"210002","1","1","2026-07-21","A","c0977","100.00","c0575","1460.00","12027","12.000","10.000","2.000","12000","27","","test","0565a17f-12ee-4096-ac8b-e57d23eff0f4","approved","","2","","2026-07-22 01:37:53","2026-07-21 10:23:32","2026-07-22 01:37:53"
"240002","60001","1","2026-07-22","C","c0575","100.00","c0575","1460.00","12003","12.000","10.000","2.000","12000","3","","","5a11db50-eb3d-4a41-bee1-d5d4704ea9a6","approved","","2","","2026-07-22 01:52:52","2026-07-22 01:43:52","2026-07-22 01:52:52"
"270002","60001","1","2026-07-22","D","c2453","100.00","c2401","1440.00","13005","11.000","8.000","3.000","13000","5","","","df8a3f59-602e-4dfa-bd4a-137304ff2380","approved","","2","2","2026-07-22 02:45:43","2026-07-22 02:15:49","2026-07-22 02:45:43"
"300002","120233","1","2026-07-22","C","11","100.00","5243-l","182.00","12000","12.000","10.000","2.000","12000","0","","","bd230760-0b5c-46a9-8f62-176a8d0adf57","pending","","","","","2026-07-22 09:48:20","2026-07-22 09:48:20"
"300003","30060","1","2026-07-22","C","c11","100.00","C2556-auto","5000.00","30000","6.500","5.500","1.000","29982","18","","","486d1d62-c3e5-4e78-9f87-ff030c858b93","approved","","2","","2026-07-22 10:03:30","2026-07-22 09:53:01","2026-07-22 10:03:30"
"300004","30060","1","2026-07-22","C","c7","100.00","c5770","8000.00","40000","6.830","5.830","1.000","39976","24","","","4ed4bfd9-784a-4b8b-a443-81c3a4ee7eaf","approved","","2","","2026-07-22 10:03:25","2026-07-22 09:55:33","2026-07-22 10:03:25"
"300005","30060","1","2026-07-22","C","c6","100.00","c5770","8000.00","40000","6.830","5.830","1.000","39960","40","","","a5c44aba-bab9-4bb7-828e-48a5a4ada9a0","approved","","2","","2026-07-22 10:03:27","2026-07-22 09:57:17","2026-07-22 10:03:27"
"300006","30013","1","2026-07-22","C","9","100.00","c0575","1460.00","5520","3.500","2.000","1.500","5508","12","","","af2a4eca-f6c8-463c-8f8c-62ff5db995ed","approved","","2","","2026-07-22 10:03:28","2026-07-22 09:59:13","2026-07-22 10:03:28"
"300007","30061","1","2026-07-22","C","2","100.00","c0977","1460.00","16468","10.340","8.840","1.500","16460","8","","","f6a6fae1-b863-495a-bafe-5c1bb5671e24","approved","","2","","2026-07-22 10:03:32","2026-07-22 10:02:52","2026-07-22 10:03:32"
"330002","30001","1","2026-07-24","A","11","100.00","c1090","2000.00","50036","11.500","11.000","0.500","50000","36","","","633f9ce6-a575-4ae1-82ed-9c356deb978f","pending","","","","","2026-07-24 04:01:23","2026-07-24 04:01:23"
"330003","120189","1","2026-07-23","A","7","100.00","6486-m","1400.00","5600","6.000","4.167","1.833","5600","0","","","268000cc-e550-4801-8487-8e381c6fe8a5","approved","","2","","2026-07-24 07:08:35","2026-07-24 06:27:11","2026-07-24 07:08:35"
"330004","30067","1","2026-07-23","A","tay","100.00","6490-l","470.00","4320","13.167","10.667","2.500","4320","0","","","736e1a19-4f36-41a1-9448-222c2e09764c","approved","","2","","2026-07-24 07:08:30","2026-07-24 06:32:18","2026-07-24 07:08:30"
"330005","30074","1","2026-07-23","A","2","100.00","8234","660.00","4216","8.670","7.840","0.830","4000","216","","","a4766db5-ba51-44cb-b695-74b7fe8aef8a","approved","","2","2","2026-07-24 07:08:36","2026-07-24 06:36:35","2026-07-24 07:08:36"
"330006","30042","1","2026-07-23","A","3","100.00","3880","400.00","3840","10.830","9.990","0.840","3840","154","","","b4261673-1a50-46bf-b1cb-e03a7c1fe3be","approved","","2","","2026-07-24 07:08:33","2026-07-24 07:01:07","2026-07-24 07:08:33"
"330007","120183","1","2026-07-23","A","15","100.00","9740","420.00","3750","11.000","9.660","1.340","3750","32","","","4cd27934-ab3e-4b73-b7a0-39fb163abbce","approved","","2","","2026-07-24 07:08:31","2026-07-24 07:07:58","2026-07-24 07:08:31"
