id,source_temp_id,worker_id,process_id,work_date,shift,machine_no,training_percent,product_name,standard_output,actual_output,total_time,actual_time,deduction_time,tt_ok,tt_ng,stop_reason,note,status,review_note,reviewed_by,approved_by,updated_by,approved_at,created_at,updated_at
"14","","3","2","2026-07-19","D","MAI-02","80.00","MAI-2821","1600.00","1256","8.000","8.000","0.000","1251","5","","Dữ liệu mẫu công nhân 1003, báo cáo 9","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-19 17:00:00","2026-07-19 16:30:00","2026-07-19 17:00:00"
"15","","3","3","2026-07-20","A","K1-01","80.00","K1-2556","3000.00","2223","8.000","7.500","0.500","2217","6","","Dữ liệu mẫu công nhân 1003, báo cáo 10","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-20 17:00:00","2026-07-20 16:30:00","2026-07-20 17:00:00"
"16","","4","4","2026-07-16","B","K2-02","100.00","K2-2821","2200.00","2185","8.000","8.000","0.000","2182","3","","Dữ liệu mẫu công nhân 1004, báo cáo 6","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-16 17:00:00","2026-07-16 16:30:00","2026-07-16 17:00:00"
"17","","4","1","2026-07-17","C","LONG-01","100.00","9740","420.00","375","8.000","7.500","0.500","371","4","","Dữ liệu mẫu công nhân 1004, báo cáo 7","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-17 17:00:00","2026-07-17 16:30:00","2026-07-17 17:00:00"
"18","","4","4","2026-07-18","D","K2-02","100.00","K2-2821","2200.00","2110","8.000","7.750","0.250","2105","5","","Dữ liệu mẫu công nhân 1004, báo cáo 8","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-18 17:00:00","2026-07-18 16:30:00","2026-07-18 17:00:00"
"19","","4","1","2026-07-19","A","CAT-01","100.00","C2556-2","7200.00","7176","8.000","8.000","0.000","7170","6","","Dữ liệu mẫu công nhân 1004, báo cáo 9","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-19 17:00:00","2026-07-19 16:30:00","2026-07-19 17:00:00"
"20","","4","4","2026-07-20","B","K2-02","100.00","K2-2821","2200.00","2035","8.000","7.500","0.500","2028","7","","Dữ liệu mẫu công nhân 1004, báo cáo 10","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-20 17:00:00","2026-07-20 16:30:00","2026-07-20 17:00:00"
"21","","5","4","2026-07-16","C","K2-01","70.00","K2-2556","2800.00","1945","8.000","8.000","0.000","1941","4","","Dữ liệu mẫu công nhân 1005, báo cáo 6","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-16 17:00:00","2026-07-16 16:30:00","2026-07-16 17:00:00"
"22","","5","3","2026-07-17","D","K1-02","70.00","K1-2821","2400.00","1557","8.000","7.500","0.500","1552","5","","Dữ liệu mẫu công nhân 1005, báo cáo 7","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-17 17:00:00","2026-07-17 16:30:00","2026-07-17 17:00:00"
"23","","5","4","2026-07-18","A","K2-01","70.00","K2-2556","2800.00","1877","8.000","7.750","0.250","1871","6","","Dữ liệu mẫu công nhân 1005, báo cáo 8","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-18 17:00:00","2026-07-18 16:30:00","2026-07-18 17:00:00"
"24","","5","3","2026-07-19","B","K1-02","70.00","K1-2821","2400.00","1656","8.000","8.000","0.000","1649","7","","Dữ liệu mẫu công nhân 1005, báo cáo 9","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-19 17:00:00","2026-07-19 16:30:00","2026-07-19 17:00:00"
"25","","5","4","2026-07-20","C","K2-01","70.00","K2-2556","2800.00","1810","8.000","7.500","0.500","1809","1","","Dữ liệu mẫu công nhân 1005, báo cáo 10","approved","Đã duyệt dữ liệu mẫu","2","2","2","2026-07-20 17:00:00","2026-07-20 16:30:00","2026-07-20 17:00:00"
"26","26","1","1","2026-07-20","C","CAT-02","100.00","C2556-2","7200.00","8015","11.000","8.000","3.000","8000","15","","","approved","","2","","","2026-07-20 02:06:04","2026-07-20 02:06:04","2026-07-22 04:52:44"
"30002","5","1","1","2026-07-15","B","CAT-02","100.00","C2556-11","6600.00","6381","8.000","7.750","0.250","6375","6","","Dữ liệu mẫu công nhân 1001, báo cáo 5","approved","","2","","","2026-07-20 02:21:38","2026-07-20 02:21:38","2026-07-20 02:21:38"
"30003","20","4","1","2026-07-15","A","CAT-01","100.00","C2556-2","7200.00","6963","8.000","7.750","0.250","6961","2","","Dữ liệu mẫu công nhân 1004, báo cáo 5","approved","","2","","","2026-07-20 02:36:02","2026-07-20 02:36:02","2026-07-20 02:36:02"
"30004","15","3","2","2026-07-15","D","MAI-02","100.00","MAI-2821","1600.00","1228","8.000","7.750","0.250","1227","1","","Dữ liệu mẫu công nhân 1003, báo cáo 5","approved","","2","","","2026-07-20 02:42:32","2026-07-20 02:42:32","2026-07-20 02:42:32"
"30005","25","5","3","2026-07-15","B","K1-02","100.00","K1-2821","2400.00","1615","8.000","7.750","0.250","1612","3","","Dữ liệu mẫu công nhân 1005, báo cáo 5","approved","","2","","","2026-07-20 02:45:40","2026-07-20 02:45:40","2026-07-20 02:45:40"
"30006","10","2","1","2026-07-15","C","LONG-01","100.00","9740","420.00","354","8.000","7.750","0.250","347","7","","Dữ liệu mẫu công nhân 1002, báo cáo 5","approved","","2","","","2026-07-20 02:49:02","2026-07-20 02:49:02","2026-07-20 02:49:02"
"30007","14","3","3","2026-07-14","C","K1-01","100.00","K1-2556","3000.00","2241","8.000","7.500","0.500","2234","7","","Dữ liệu mẫu công nhân 1003, báo cáo 4","approved","","2","","","2026-07-20 02:49:45","2026-07-20 02:49:45","2026-07-20 02:49:45"
"30008","19","4","4","2026-07-14","D","K2-02","100.00","K2-2821","2200.00","2053","8.000","7.500","0.500","2052","1","","Dữ liệu mẫu công nhân 1004, báo cáo 4","approved","","2","","","2026-07-20 02:52:42","2026-07-20 02:52:42","2026-07-20 02:52:42"
"30009","9","2","3","2026-07-14","B","K1-02","100.00","K1-2821","2400.00","2016","8.000","7.500","0.500","2010","6","","Dữ liệu mẫu công nhân 1002, báo cáo 4","approved","","2","","","2026-07-20 03:23:19","2026-07-20 03:23:19","2026-07-20 03:23:19"
"30010","30002","1","1","2026-07-20","C","CAT-02","100.00","C2556-2","7200.00","9000","12.000","10.500","1.500","9000","0","","","approved","","2","","","2026-07-20 03:45:30","2026-07-20 03:45:30","2026-07-20 03:45:30"
"60002","60002","4","1","2026-07-20","C","LONG-01","100.00","C2556-2","7200.00","12000","12.000","9.000","3.000","12000","0","","","approved","","2","","","2026-07-20 05:07:51","2026-07-20 05:07:51","2026-07-22 04:52:44"
"60003","30003","2","1","2026-07-20","D","LONG-01","100.00","C2821","2400.00","9000","8.000","6.000","2.000","9000","0","","","approved","","2","","","2026-07-20 05:09:08","2026-07-20 05:09:08","2026-07-22 04:52:44"
"90002","4","1","2","2026-07-14","A","MAI-01","100.00","MAI-2556","1800.00","1678","8.000","7.500","0.500","1673","5","","Dữ liệu mẫu công nhân 1001, báo cáo 4","approved","","2","","","2026-07-20 05:58:18","2026-07-20 05:58:18","2026-07-20 05:58:18"
"90003","24","5","4","2026-07-14","A","K2-01","100.00","K2-2556","2800.00","1828","8.000","7.500","0.500","1826","2","","Dữ liệu mẫu công nhân 1005, báo cáo 4","approved","","2","","","2026-07-20 06:03:05","2026-07-20 06:03:05","2026-07-20 06:03:05"
"120002","3","1","1","2026-07-13","D","LONG-02","100.00","2801","605.00","599","8.000","8.000","0.000","595","4","","Dữ liệu mẫu công nhân 1001, báo cáo 3","approved","","2","","","2026-07-20 07:52:08","2026-07-20 07:52:08","2026-07-20 07:52:08"
"150002","90002","1","1","2026-07-21","A","c0575","100.00","5243-l","182.00","100","12.000","9.500","2.500","0","100","","test","approved","","4","","","2026-07-21 02:53:32","2026-07-21 02:53:32","2026-07-22 04:52:44"
"180002","120002","1","1","2026-07-21","A","5243-l","100.00","5243-l","182.00","1000","10.000","10.000","0.000","1000","0","","","approved","","4","","","2026-07-21 03:28:48","2026-07-21 03:28:48","2026-07-21 03:28:48"
"210002","2","1","2","2026-07-12","C","MAI-01","100.00","MAI-2556","1800.00","1740","8.000","7.750","0.250","1737","3","","Dữ liệu mẫu công nhân 1001, báo cáo 2","approved","","2","","","2026-07-21 05:06:16","2026-07-21 05:06:16","2026-07-21 05:06:16"
"210003","6","2","1","2026-07-11","C","LONG-01","100.00","9740","420.00","354","8.000","7.500","0.500","351","3","","Dữ liệu mẫu công nhân 1002, báo cáo 1","approved","","2","","","2026-07-21 05:06:18","2026-07-21 05:06:18","2026-07-21 05:06:18"
"210004","11","3","2","2026-07-11","D","MAI-02","100.00","MAI-2821","1600.00","1200","8.000","7.500","0.500","1196","4","","Dữ liệu mẫu công nhân 1003, báo cáo 1","approved","","2","","","2026-07-21 05:06:20","2026-07-21 05:06:20","2026-07-21 05:06:20"
"210005","23","5","3","2026-07-13","D","K1-02","100.00","K1-2821","2400.00","1674","8.000","8.000","0.000","1673","1","","Dữ liệu mẫu công nhân 1005, báo cáo 3","approved","","2","","","2026-07-21 05:06:21","2026-07-21 05:06:21","2026-07-21 05:06:21"
"210006","22","5","4","2026-07-12","C","K2-01","100.00","K2-2556","2800.00","1895","8.000","7.750","0.250","1888","7","","Dữ liệu mẫu công nhân 1005, báo cáo 2","approved","","2","","","2026-07-21 05:06:23","2026-07-21 05:06:23","2026-07-21 05:06:23"
"210007","1","1","1","2026-07-11","B","CAT-02","100.00","C2556-11","6600.00","6187","8.000","7.500","0.500","6185","2","","Dữ liệu mẫu công nhân 1001, báo cáo 1","approved","","2","","","2026-07-21 05:06:25","2026-07-21 05:06:25","2026-07-21 05:06:25"
"210008","21","5","3","2026-07-11","B","K1-02","100.00","K1-2821","2400.00","1575","8.000","7.500","0.500","1569","6","","Dữ liệu mẫu công nhân 1005, báo cáo 1","approved","","2","","","2026-07-21 05:06:26","2026-07-21 05:06:26","2026-07-21 05:06:26"
"210009","12","3","3","2026-07-12","A","K1-01","100.00","K1-2556","3000.00","2322","8.000","7.750","0.250","2317","5","","Dữ liệu mẫu công nhân 1003, báo cáo 2","approved","","2","","","2026-07-21 05:06:28","2026-07-21 05:06:28","2026-07-21 05:06:28"
"210010","13","3","2","2026-07-13","B","MAI-02","100.00","MAI-2821","1600.00","1274","8.000","8.000","0.000","1268","6","","Dữ liệu mẫu công nhân 1003, báo cáo 3","approved","","2","","","2026-07-21 05:06:30","2026-07-21 05:06:30","2026-07-21 05:06:30"
"210011","16","4","1","2026-07-11","A","CAT-01","100.00","C2556-2","7200.00","6750","8.000","7.500","0.500","6745","5","","Dữ liệu mẫu công nhân 1004, báo cáo 1","approved","","2","","","2026-07-21 05:06:31","2026-07-21 05:06:31","2026-07-21 05:06:31"
"210012","7","2","3","2026-07-12","D","K1-02","100.00","K1-2821","2400.00","2089","8.000","7.750","0.250","2085","4","","Dữ liệu mẫu công nhân 1002, báo cáo 2","approved","","2","","","2026-07-21 05:06:33","2026-07-21 05:06:33","2026-07-21 05:06:33"
"210013","17","4","4","2026-07-12","B","K2-02","100.00","K2-2821","2200.00","2128","8.000","7.750","0.250","2122","6","","Dữ liệu mẫu công nhân 1004, báo cáo 2","approved","","2","","","2026-07-21 05:06:35","2026-07-21 05:06:35","2026-07-21 05:06:35"
"210014","18","4","1","2026-07-13","C","LONG-01","100.00","9740","420.00","414","8.000","8.000","0.000","407","7","","Dữ liệu mẫu công nhân 1004, báo cáo 3","approved","","2","","","2026-07-21 05:06:36","2026-07-21 05:06:36","2026-07-21 05:06:36"
"210015","8","2","1","2026-07-13","A","CAT-01","100.00","C2556-2","7200.00","6474","8.000","8.000","0.000","6469","5","","Dữ liệu mẫu công nhân 1002, báo cáo 3","approved","","2","","","2026-07-21 05:06:38","2026-07-21 05:06:38","2026-07-21 05:06:38"
"240002","150002","60001","1","2026-07-21","C","c0575","100.00","c0575","1460.00","12001","15.000","12.000","3.000","12000","1","","","approved","","2","","","2026-07-21 08:07:24","2026-07-21 08:07:24","2026-07-22 04:52:44"
"270002","180002","1","1","2026-07-21","B","c0575","100.00","5243-l","182.00","0","12.000","11.000","1.000","0","0","","","approved","","2","","","2026-07-21 10:24:38","2026-07-21 10:24:38","2026-07-21 10:24:38"
"300002","210002","1","1","2026-07-21","A","c0977","100.00","c0575","1460.00","12000","12.000","10.000","2.000","12000","0","","test","approved","","2","","","2026-07-22 01:37:52","2026-07-22 01:37:52","2026-07-22 04:52:44"
"330002","240002","60001","1","2026-07-22","C","c0575","100.00","c0575","1460.00","12001","12.000","10.000","2.000","12000","1","","","approved","","2","","","2026-07-22 01:52:50","2026-07-22 01:52:50","2026-07-22 04:52:44"
"360002","270002","60001","1","2026-07-22","D","c2453","100.00","c2401","1440.00","13003","11.000","8.000","3.000","13000","3","","","approved","","2","","","2026-07-22 02:45:42","2026-07-22 02:45:42","2026-07-22 04:52:44"
"390002","300004","30060","1","2026-07-22","C","c7","100.00","c5770","8000.00","40000","6.830","5.830","1.000","39976","24","","","approved","","2","","","2026-07-22 10:03:24","2026-07-22 10:03:24","2026-07-22 10:03:24"
"390003","300005","30060","1","2026-07-22","C","c6","100.00","c5770","8000.00","40000","6.830","5.830","1.000","39960","40","","","approved","","2","","","2026-07-22 10:03:25","2026-07-22 10:03:25","2026-07-22 10:03:25"
"390004","300006","30013","1","2026-07-22","C","9","100.00","c0575","1460.00","5520","3.500","2.000","1.500","5508","12","","","approved","","2","","","2026-07-22 10:03:27","2026-07-22 10:03:27","2026-07-22 10:03:27"
"390005","300003","30060","1","2026-07-22","C","c11","100.00","C2556-auto","5000.00","30000","6.500","5.500","1.000","29982","18","","","approved","","2","","","2026-07-22 10:03:29","2026-07-22 10:03:29","2026-07-22 10:03:29"
"390006","300007","30061","1","2026-07-22","C","2","100.00","c0977","1460.00","16468","10.340","8.840","1.500","16460","8","","","approved","","2","","","2026-07-22 10:03:30","2026-07-22 10:03:30","2026-07-22 10:03:30"
"420002","330004","30067","1","2026-07-23","A","tay","100.00","6490-l","470.00","4320","13.167","10.667","2.500","4320","0","","","approved","","2","","","2026-07-24 07:08:28","2026-07-24 07:08:28","2026-07-24 07:08:28"
"420003","330007","120183","1","2026-07-23","A","15","100.00","9740","420.00","3750","11.000","9.660","1.340","3750","32","","","approved","","2","","","2026-07-24 07:08:30","2026-07-24 07:08:30","2026-07-24 07:08:30"
"420004","330006","30042","1","2026-07-23","A","3","100.00","3880","400.00","3840","10.830","9.990","0.840","3840","154","","","approved","","2","","","2026-07-24 07:08:32","2026-07-24 07:08:32","2026-07-24 07:08:32"
"420005","330003","120189","1","2026-07-23","A","7","100.00","6486-m","1400.00","5600","6.000","4.167","1.833","5600","0","","","approved","","2","","","2026-07-24 07:08:33","2026-07-24 07:08:33","2026-07-24 07:08:33"
"420006","330005","30074","1","2026-07-23","A","2","100.00","8234","660.00","4216","8.670","7.840","0.830","4000","216","","","approved","","2","","","2026-07-24 07:08:35","2026-07-24 07:08:35","2026-07-24 07:08:35"
