id,process_id,machine_code,machine_name,status,created_at,updated_at,exclude_kqd_from_tt
"60055","2","21","Máy 21","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60056","2","22","Máy 22","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60057","2","23","Máy 23","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60058","2","24","Máy 24","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60059","2","25","Máy 25","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60060","2","26","Máy 26","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60061","2","27","Máy 27","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60062","2","28","Máy 28","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60063","2","29","Máy 29","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60064","2","30","Máy 30","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60065","2","31","Máy 31","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60066","2","32","Máy 32","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60067","2","33","Máy 33","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60068","2","34","Máy 34","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60069","2","35","Máy 35","active","2026-07-22 07:55:25","2026-07-22 08:15:35","0"
"60138","60001","1","Máy 1","active","2026-07-22 08:16:35","2026-07-24 03:58:25","0"
"60139","60001","2","Máy 2","active","2026-07-22 08:16:35","2026-07-22 08:16:35","0"
"60140","60001","3","Máy 3","active","2026-07-22 08:16:35","2026-07-22 08:16:35","0"
"60141","60001","4","Máy 4","active","2026-07-22 08:16:35","2026-07-22 08:16:35","0"
"60142","60001","5","Máy 5","active","2026-07-22 08:16:35","2026-07-22 08:16:35","0"
"60143","60001","6","Máy 6","active","2026-07-22 08:16:35","2026-07-22 08:16:35","0"
"60144","60001","7","Máy 7","active","2026-07-22 08:16:35","2026-07-22 08:16:35","0"
"60145","60001","8","Máy 8","active","2026-07-22 08:16:35","2026-07-22 08:16:35","0"
"60146","60001","9","Máy 9","active","2026-07-22 08:16:35","2026-07-22 08:16:35","0"
"60147","60001","10","Máy 10","active","2026-07-22 08:16:35","2026-07-24 05:00:15","0"
"60148","60001","11","Máy 11","active","2026-07-22 08:16:35","2026-07-22 08:16:35","0"
"60149","60001","12","Máy 12","active","2026-07-22 08:16:35","2026-07-22 08:16:35","0"
"60150","60001","13","Máy 13","active","2026-07-22 08:16:35","2026-07-22 08:16:35","0"
"60151","60001","14","Máy 14","active","2026-07-22 08:16:35","2026-07-22 08:16:35","0"
"60152","60001","15","Máy 15","active","2026-07-22 08:16:35","2026-07-22 08:16:35","0"
"60153","60001","16","Máy 16","active","2026-07-22 08:16:35","2026-07-22 08:16:35","0"
"60154","60001","17","Máy 17","active","2026-07-22 08:16:35","2026-07-22 08:16:35","0"
"60155","60001","18","Máy 18","active","2026-07-22 08:16:35","2026-07-22 08:16:35","0"
"60156","60001","19","Máy 19","active","2026-07-22 08:16:35","2026-07-22 08:16:35","0"
"60157","60001","20","Máy 20","active","2026-07-22 08:16:35","2026-07-22 08:16:35","0"
"60158","60001","21","Máy 21","active","2026-07-22 08:16:35","2026-07-22 08:16:35","0"
"60159","60001","22","Máy 22","active","2026-07-22 08:16:35","2026-07-22 08:16:35","0"
"60160","60001","QC","QC","active","2026-07-22 08:18:09","2026-07-22 08:18:09","0"
"60161","60003","Press No 1","Press No 1","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60162","60003","Press No 2","Press No 2","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60163","60003","Press No 3","Press No 3","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60164","60003","Press No 4","Press No 4","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60165","60003","Press No 5","Press No 5","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60166","60003","Press No 6","Press No 6","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60167","60003","Press No 7","Press No 7","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60168","60003","Press No 8","Press No 8","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60169","60003","Press No 9","Press No 9","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60170","60003","Press No 10","Press No 10","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60171","60003","Press No 11","Press No 11","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60172","60003","Press No 12","Press No 12","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60173","60003","Press No 13","Press No 13","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60174","60003","Press No 14","Press No 14","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60175","60003","Press No 15","Press No 15","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60176","60003","Press No 16","Press No 16","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60177","60003","Press No 17","Press No 17","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60178","60003","Press No 18","Press No 18","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60179","60003","Press No 19","Press No 19","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60180","60003","Press No 20","Press No 20","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60181","60003","Press No 21","Press No 21","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60182","60003","Press No 22","Press No 22","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60183","60003","INJ No 1","INJ No 1","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60184","60003","INJ No 2","INJ No 2","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60185","60003","INJ No 3","INJ No 3","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60186","60003","INJ No 4","INJ No 4","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60187","60003","INJ No 6","INJ No 6","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60188","60003","INJ No 8","INJ No 8","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60189","60003","INJ No 7","INJ No 7","active","2026-07-22 08:19:05","2026-07-22 08:19:05","0"
"60190","3","QC","QC","active","2026-07-22 08:20:37","2026-07-22 08:20:37","0"
"60191","4","QC","QC","active","2026-07-22 08:20:37","2026-07-22 08:20:37","0"
"90001","1","tay","tay","active","2026-07-24 06:30:39","2026-07-24 06:30:39","0"
